ID  объявления;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Можно с детьми/животными;Дополнительно;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
170942946;2, Изолированная;Квартира;м. Домодедовская (16 мин пешком);Москва, Борисовский проезд, 8К2;44.0/27.0/6.0;2/9, Панельный;наземная;32000.0 руб./ За месяц, Залог - 34000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79269938060;"Предлагается уютная 2-комнатная квартира на длительный срок в 15 мин. ходьбы до м. Домодедовская (2 этаж 9-этажного дома). Отличное состояние подъезда, квартиры. В каждой комнате по два спальных места, оборудованнная детская комната. Удивительное по красоте место в Москве! 5 мин. пешком - Троицкая церковь, далее начинается парковая и пляжная зона отдыха ""Борисовские пруды"". Дорожки вымощены, ландшафтный дизайн, свежий воздух Во дворе детская и спортивная площадки с тренажерами для занятий спорта, рядом школа, детский садик. В квартире имеется все необходимое для комфортного проживания: стиральная машина, холодильник, телевизор. Стильный кухонный гарнитур, спальный гарнитур, детская комната, техника и оборудование. Комнаты изолированы: 44 (19-8) +кухня 6 кв. м. Во дворе всегда есть место для бесплатной парковки. Вся инфраструктура в пешей доступности., 5 фото";Косметический;19-8;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.75;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/170942946
170780255;2;Квартира;м. Щелковская (10 мин пешком);Москва, Алтайская улица, 4;52.0/35.0/7.0;5/16;;32000.0 руб./ За месяц, Залог - 32000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79269199261, +79250117381;Сдается чистая и уютная двухкомнатная квартира.В квартире имеется все необходимое для проживания.Рассмотрим семейную пару.ЗВОНИТЕ!! Лот: 21429995;;20-15;;;;;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Телефон;;;;Пасс (1);;https://www.cian.ru/rent/flat/170780255
172743493;2;Квартира;м. Шоссе Энтузиастов (20 мин пешком);Москва, Мастеровая улица, 9;43.0/29.0/7.0;2/5, Кирпичный;наземная;32000.0 руб./ За месяц, Залог - 16000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79250161796;РАССМОТРИМ ВСЕХ!!! СОСТАВ И НАЦИОНАЛЬНОСТЬ ОБСУЖДАЮТСЯ!!! Отличное предложение, сдается впервые ремонта. В теплом кирпичном доме, на втором этаже, все необходимое для проживания есть, два дивана, мини-стенка, кухня, и т.д., гардеробная комната, балкон. Новые холодильник и стиральная машина.  В пешей доступности 2 станции метро Перово и Шоссе Энтузиастов, а также ж/д станция Перово. Залог разбивается. Отличный собственник., 6 фото;Косметический;16-13;Балкон (1);;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/172743493
168755347;2;Квартира;м. Балтийская (17 мин пешком);Москва, Нарвская улица, 15К2;46.0/29.0/7.0;4/5, Панельный;;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79651020106;Сдается с 22февраля, показ и договор сегодня. Квартира после косметического ремонта, в комнатах вс необходимая мебель и бытовая техника, балкон остеклен, полы ленолиум. Залог разбивается, 10 фото;Косметический;18-11;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник;;;2.64;;;https://www.cian.ru/rent/flat/168755347
171656819;2;Квартира;м. Новогиреево (25 мин пешком);Москва, улица Сталеваров, 14К3;40.0/24.0/7.0;10/12, Блочный;;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79057252513;Сдается уютная квартира с изолированными  комнатами на длительный срок. Имеется все для комфортной жизни. Готова к заселению. Все в отличном состоянии. Приветливые достойные хозяева приглашают ответственных аккуратных жильцов, одобрят семью. Отличный дом, после капремонта, расположен в тихом месте. В пешей доступности  метро и электричка. Вся инфраструктура рядом. Звоните в любое время. Показ в удобное время. Алексей., 16 фото;Косметический;14-10;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;;Да;https://www.cian.ru/rent/flat/171656819
170185793;2, Смежная;Квартира;м. Славянский бульвар (25 мин пешком);Москва, Аминьевское шоссе, 14К2;46.0/34.0/7.0;1/5, Панельный;;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79055559554, +74992599634;Денис. ВСЕХ ПРИЛИЧНЫХ! Сдается отличная ,двухкомнатная квартира. Комнаты совмещенные , санузел совместный . В квартире сделан простой косметический ремонт, есть все для проживания мебель ,бытовая техника. Рассмотрим всех порядочных, платежеспособных нанимателей не более 4 человек., 8 фото;Косметический;18+16;;Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.48;;;https://www.cian.ru/rent/flat/170185793
170933753;2, Изолированная;Квартира;м. Медведково (10 мин пешком);Москва, улица Тихомирова, 2;50.0/35.0/9.0;3/14, Панельный;наземная;32000.0 руб./ За месяц, Залог - 16000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79688907014;Большая двухкомнатная квартира рядом с метро и изолированными комнатами всего за 32т.р.  Консьерж в подъезде. В квартире чисто. Большой коридор и кухня. Санузел облицован плиткой, новая сантехника. Застекленный балкон. Двухкамерный большой холодильник, стиральная машина. Укомплектована мебелью: кухонный гарнитур,  спальная мебель, а так же есть шкафы для одежды. По запросу клиента комнаты могут быть предоставлены пустыми., 8 фото;Косметический;20-15;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;Пасс (2), Груз (1);Да;https://www.cian.ru/rent/flat/170933753
165784339;2, Изолированная;Квартира;м. Новогиреево (13 мин пешком);Москва, Зеленый проспект, 53К2;53.0/30.0/8.5;11/12, Панельный;;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79161891998;Квартира с изолированными комнатами. Чистая и очень теплая. Комнаты просторные, расположение на две стороны дома.  Необходимый набор мебели. Чистая ванная комната. Застекленная лоджия. Вся необходимая для удобства мебель. Пожелание собственников - только славян., 12 фото;Косметический;18-12;Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Телефон;;;;Пасс (1);Да;https://www.cian.ru/rent/flat/165784339
172676258;2, Изолированная;Квартира;м. Румянцево (15 мин пешком);Москва, Мосрентген поселение, д. Дудкино, Круиз СНТ;50.0/32.0/8.0;2/3, Кирпичный;наземная;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79261218075, +79651563014;"Сдаётся квартира с РАЗДЕЛЬНЫМИ комнатами в таунхаусе посёлок СНТ ""КРУИЗ"" - смотрите СХЕМы проезда на последних ФОТО к данному объявлению - есть ТРИ варианта доступности. Малоэтажный Квартирный Дом - кирпичный, постройка 2012 г., один собственник. Вся необходимая мебель и бытовая техника - смотрите ФОТО - новые и современные. Кухонный гарнитур под единой столешницей. Ремонт под ЕВРО-стандарт. Окна стеклопакеты. Полы ламинат и плитка. Санузел совмещённый, в плитке, под ЕВРО. Металлическая дверь. На площадке только 3 квартиры. Огороженная, охраняемая территория всего СНТ. Есть площадки для барбекю, для стоянки авто - во дворе, огороженном. Подключение Интернета - по договоренности. Возможные варианты транспортной подвязки - на авто удобный выезд/въезд от МКАД и со стороны Киевского шоссе, или маршруткой/автобусом от м.Тёплый Стан и м.Тропарёво ( 5-7 мин. до конечной остановки пос.МОСРЕНТГЕН, а далее 5-7 мин. пешком ), или от м.Румянцево пешком 15 мин. Предложение для граждан РФ, можно с д ..., 30 фото";Евроремонт;20-12;;Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.65;;;https://www.cian.ru/rent/flat/172676258
170362103;2, Смежная;Квартира;м. Академическая (14 мин пешком);Москва, улица Вавилова, 58К2;40.0/28.0/6.0;6/9, Кирпичный;наземная;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79969668767, +79851808224;Сдаётся чистая квартира, на длительный срок, есть вся необходимая мебель и техника, залог можно разбить.;Косметический;18+10;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (1);Да;https://www.cian.ru/rent/flat/170362103
172876236;2;Квартира;м. Петровско-Разумовская (10 мин на машине);Москва, Керамический проезд, 45К1;52.0/30.0/8.0;9/16, Панельный;наземная;32000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79151013435;квартира в хорошем состояние. мебель наборная. рядом платформа Дегунино 5 мин пешком. рассмотрят славян. без залога., 6 фото;;18-12;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/172876236
172852197;2, Смежная;Квартира;м. Щукинская (20 мин пешком);Москва, Живописная улица, 40;45.0/32.0/6.0;3/5, Кирпичный;наземная;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79168563074, +79265306967;89168563074-Двухкомнатная квартира(ул.Живописная,д.40).Застекленный балкон,смежные комнаты,мебель,бытовая техника.Интернет,домофон,металлическая входная дверь.Тихий зеленый благоустроенный двор.Сдается на длительный срок.Оперативный ПОКАЗ-представитель на объекте-89265306967, 10 фото;Косметический;20+12;Балкон (1), Лоджия (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;3.0;;Да;https://www.cian.ru/rent/flat/172852197
172640360;2, Изолированная;Квартира;м. Водный стадион (5 мин на машине);Москва, улица Лавочкина, 8;44.0/30.0/8.0;3/5, Кирпичный;;32000.0 руб./ За месяц, Залог - 32000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79663618097, +79250307348;Квартира после качественного ,косметического ремонта. Комнаты изолированные. Комфортная мебель для проживания. Кухонный гарнитур. Вся бытовая техника. Ключи на руках. Оперативный показ., 10 фото;Косметический;16-14;Балкон (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник;;;2.48;;;https://www.cian.ru/rent/flat/172640360
172450134;2;Квартира;м. Академическая (None мин пешком);Москва, Новочеремушкинская улица, 29;38.0/26.0/6.0;5/5, Панельный;;32000.0 руб./ За месяц, Залог - 32000 руб., Срок аренды - Длительный;+79775727374, +79254623008;Сдается хорошая, теплая 2-ком. квартира по привлекательной цене. Рассмотрим порядочных и платежеспособных граждан. Спешите, 8 фото;Косметический;;Балкон (1);На улицу;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Стиральная машина, Холодильник;;;2.6;;;https://www.cian.ru/rent/flat/172450134
168536903;2;Квартира;;Москва, Московский поселение, Московский, 1-й мкр, 39;52.0/34.0/9.0;6/12, Панельный;;33000.0 руб./ За месяц, Залог - 16500 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79268523154;Хороший ремонт.Квартира полностью укомплектована  мебелью и бытовой техникой.Интернет домофон.Металлическая дверь.Сдается на длительный срок., 10 фото;Евроремонт;22-12;;На улицу и двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/168536903
169869780;2, Смежная;Квартира;м. Шоссе Энтузиастов (18 мин пешком);Москва, Мастеровая улица, 9;45.0/33.0/8.0;2/5, Кирпичный;;33000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79651326579;Сдается двухкомнатная квартира в ОТЛИЧНОМ СОСТОЯНИИ.В квартире сделан качественный ремонт.Вся мебель современная,все,что нужно для комфортного проживания присутствует.Есть гардеробная комната.Вся быт.техника.Сан.узел совмещен,душкабина.Хорошее транспортное сообщение,рядом станция Перово.Рассмотрят клиентов славянской внешности., 7 фото;Косметический;20+13;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/169869780
162418359;2, Изолированная;Квартира;м. Юго-Западная (15 мин на машине);Москва, Боровское шоссе, 46;54.0/30.0/10.0;7/17, Панельный;наземная;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79039740757;"ХОРОШИЙ РЕМОНТ! Свежий косметический ремонт (фото до ремонта! Сейчас гораздо круче!). 5 минут от метро Новопеределкино (открытие через месяц-два). 
Дом на стороне Макдональдса. Исключительно чистая квартира! КОНДИЦИОНЕР, ПОСУДОМОЙКА и прочая бытовая техника. 
Жилая мебель современная. Комнаты изолированы. Застекленная лоджия. 2 раскладных дивана. Шкафы-купе. Санузел раздельный, в кафеле. Залог разбивается. 
Состав не более 3 человек., 15 фото";Косметический;18-12;Лоджия (1);На улицу;;Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/162418359
173039357;2;Квартира;м. Выхино (15 мин на машине);Москва, улица Дмитриевского, 1;62.0/34.0/12.0;2/17;;33000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79005550101;На длительный срок сдается просторная двухкомнатная квартра со всей мебелью и техникой;Косметический;18,16;Лоджия (1);;;Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;;;Нет;https://www.cian.ru/rent/flat/173039357
173035160;2, Изолированная;Квартира;м. Ховрино (12 мин пешком);Москва, Зеленоградская улица, 21К3;46.0/28.0/7.0;10/12, Блочный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79855558422;Сергей.Отличный вариант!Страховой депозит при необходимости можно разбить!Квартира 2-х комнатная с изолированными комнатами,со всей необходимой для комфортного проживания современной мебелью и бытовой техникой.Кухня с кухонным гарнитуром под единой столешницей.Санузел  раздельный.Застеклённый балкон,окна ПВХ,железная дверь,интернет,домофон.Рассмотрят всех порядочных,можно с детьми,можно женщин,можно мужчин,можно с животными.Показ и заселение СЕГОДНЯ., 10 фото;Косметический;16-12;Балкон (1), Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/173035160
171752551;2, Изолированная;Квартира;;Москва, Дмитровское шоссе, 97к1;42.0/28.0/6.0;2/5, Блочный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79646406238;СМОТРИТЕ ФОТО. Сдается чистая, уютная 2х комнатная квартира с изолированными комнатами. Вся мебель и техника для вашего комфортного проживания в наличии. Весь кухонный гарнитур,сма,плита,холодильник. Балкон, окна пвх, металлическая входная дверь. Славян, можно с детьми, и маленькими животными, 6 фото;Косметический;18-10;Балкон (1);;Совмещенный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.48;;;https://www.cian.ru/rent/flat/171752551
170813880;2, Смежная;Квартира;м. Рязанский проспект (6 мин пешком);Москва, улица Академика Скрябина, 5К1;45.0/34.0/9.0;5/12, Блочный;наземная;33000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79689121405, +79251220029;Вашему вниманию предлагаем Отличный Вариант квартиры в аренду на длительный срок.Комнаты смежные.Сан/узел раздельн..Мебель и техника бытовая вся в наличии(холод,стир маш...ТВ,интернет).Хорошая инфраструктура(от м.Рязанский пр. 5мин пешком...Школы,детск сады,торговые комплексы,Банки..Аптеки...Фитнес-клуб..,Салоны красоты и т.д), 10 фото;Косметический;20+14;Балкон (2);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.64;Пасс (2);Да;https://www.cian.ru/rent/flat/170813880
171972066;2, Изолированная;Квартира;м. Пражская (12 мин пешком);Москва, улица Красного Маяка, 15К5;54.0/36.0/9.0;12/17, Панельный;наземная;33000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79096338890;БЕЗ ДЕПОЗИТА! СПЕШИТЕ! ГОТОВА К ЗАСЕЛЕНИЮ! Предлагается в аренду 2х комнатная квартира. В квартире выполнен косметический ремонт! Квартира полностью оборудована всем необходимым для комфортного проживания! Комнаты ИЗОЛИРОВАННЫЕ! Кухонный гарнитур под единой столешницей. Холодильник. Сан узел раздельный. Стиральная машина Автомат. Балкон(застеклен). Спокойные соседи! Замечательный Собственник! Квартира сдается на длительный срок! Рассмотрим порядочных, платежеспособных арендаторов! Оперативный показ!, 15 фото;Косметический;20-16;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/171972066
170586026;2, Смежная;Квартира;м. Щелковская (17 мин пешком);Москва, 3-я Парковая улица, 42К2;50.0/34.0/6.0;1/5, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79647703333;Ключи.ВСЕХ.Комнаты смежные,Комнаты без мебели.Кухонный гарнитур встроенный,холодильник,стиральная машина,прихожая.Капитальный ремонт 3года., 13 фото;Косметический;20+14;;Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет, Телефон;;;2.48;;;https://www.cian.ru/rent/flat/170586026
171726585;2, Смежная;Квартира;м. Нагорная (10 мин пешком);Москва, Криворожская улица, 5К2;50.0/34.0/10.0;12/12, Блочный;наземная;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79163253850;СУПЕР ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ!!! Сдается двухкомнатная квартира в пешей доступности от метро. Квартира с косметическим ремонтом, комнаты смежные, квартира полностью меблирована всей необходимой мебелью. Мебель в комнатах ( два дивана. кровать, шкаф, кондиционер, холодильник, на полу паркет, окна пвх) С/У раздельный. На кухне кухонный гарнитур. плита, холодильник, стиральная машина, микроволновая печь. Подробно смотрите фото!!! Залог разбиваем на несколько месяцев., 12 фото;Косметический;20+14;Балкон (1), Лоджия (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон;;;2.64;Пасс (2);Да;https://www.cian.ru/rent/flat/171726585
173007718;2, Изолированная;Квартира;;Москва, Живописная улица, 4К2;40.0/7.0;3/5, Кирпичный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79262121679;Рядом парк- Серебряный бор-,пляжи,Москва-река,Бассейн.Кв-ра чистая(ремонт косметика),комнаты изолир.,санузел совм.,Балкон(рамы обычные),полы линол.,мебель наборная:2-а дивана,платяной шкаф,холодильн.,стир.маш.авт.,в прихожей встроен.шкаф,Интернет., 15 фото;Косметический;18-13;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет, Телефон;;;2.48;;;https://www.cian.ru/rent/flat/173007718
170398636;2, Изолированная;Квартира;м. Октябрьское поле (10 мин на машине);Москва, набережная Новикова-Прибоя, 8К2;44.0/28.0/6.0;2/5, Панельный;;33000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79161058627, +74954114689;2-х комн квртира Мебели минимум.Техника отсутствует., 9 фото;Косметический;18-10;Балкон (1);Во двор;Совмещенный (1);;Мебель на кухне;;;2.64;;Нет;https://www.cian.ru/rent/flat/170398636
173001628;2, Изолированная;Квартира;м. Щелковская (20 мин пешком);Москва, Щелковское шоссе, 88К2;48.0/36.0/7.0;3/5, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79262413415;евро, комнаты изолированные, ламинат и плитка. окна пвх., 1 фото;Евроремонт;20-16;Балкон (1);Во двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон;;;2.48;;Нет;https://www.cian.ru/rent/flat/173001628
172674094;2;Квартира;м. Кузьминки (5 мин пешком);Москва, Волгоградский проспект, 115К3;45.0/30.0/7.0;5/5, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Срок аренды - Длительный, Предоплата 1 мес;+74957455045, +79685123597;Лот 30577. Сдаётся 2 комнатная квартира по цене 33 тыс. р/месяц на срок от 11 месяцев. Общая площадь 45 кв.м площадь комнат 18+12 кв.м. Есть 1 балкон и совмещенный санузел. Планировка смежно-изолированная. Квартира расположена на 5 этаже 5 этажного  панельного дома. Горячая вода из центрального водоснабжения. Свободная парковка. Москва по адресу Волгоградский дом 115 корпус 3 в 5 минутах пешком до метро Кузьминки в 10.00 км до МКАД. Квартира оснащена всей необходимой бытовой техникой и полностью меблирована., 8 фото;;18-12;Балкон (1);;Совмещенный (1);;Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Телефон;;;;;;https://www.cian.ru/rent/flat/172674094
168842699;2, Смежная;Квартира;м. Измайловская (17 мин пешком);Москва, 3-я Парковая улица, 42К2;43.0/36.0/6.0;1/5, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79647703333;Ключи.ВСЕХ.Комнаты смежные,Комнаты без мебели.Кухонный гарнитур встроенный,холодильник,стиральная машина,прихожая.Капитальный ремонт 3года., 19 фото;Евроремонт;20+16;Лоджия (4);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Мебель на кухне, Ванна, Стиральная машина, Холодильник;;;2.48;;;https://www.cian.ru/rent/flat/168842699
170763340;2;Квартира;м. Рязанский проспект (15 мин пешком);Москва, Самаркандский бульвар, 20К1;45.0;4/12, Панельный;;32800.0 руб./ За месяц, Залог - 18000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79104586021, +79163155375;"Возможен торг до 32 000 руб.
Современный дом,косметика,изолированные комнаты,обычная квартира для простых людей,необходимая мебель и бытовая техника для проживания,интернет,тв,балкон не застеклен,кухонный гарнитур,холодильник,обеденный стол,стулья,кровать,диван,шкаф,письменный комп.стол.Длительный срок,развитая инфраструктура,кроме кавказа,азии,киргизов,татар и армян.Просмотр и заселение сегодня., 8 фото";Косметический;;Балкон (1), Лоджия (1);;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/170763340
169461757;2, Изолированная;Квартира;м. Выхино (15 мин пешком);Москва, Самаркандский бульвар, 20К1;45.0;4/12, Панельный;;32800.0 руб./ За месяц, Залог - 18000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79104586021, +79163155375;Современный дом,косметика,изолированные комнаты,обычная квартира для простых людей,необходимая мебель и бытовая техника для проживания,интернет,тв,балкон не застеклен,кухонный гарнитур,холодильник,обеденный стол,стулья,кровать,диван,шкаф,письменный комп.стол.Длительный срок,развитая инфраструктура,кроме кавказа,азии,киргизов,татар и армян.Просмотр и заселение сегодня., Возможен торг, 8 фото;Косметический;;Балкон (1), Лоджия (1);;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/169461757
171380153;2;Квартира;м. Выхино (15 мин пешком);Москва, Вешняковская улица, 31;48.0/35.0/6.0;3/12, Блочный;;33000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79254814456, +74993914631;БЕЗ ЗАЛОГА !!! Отличная квартира с изолированными комнатами и раздельным сан узлом !!! Всё есть !!! Можно 4-5 чел. Киргизов , Узбеков , Таджиков !!! Национальность не имеет значения !!!, 1 фото;Косметический;20-15;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/171380153
169737528;2, Изолированная;Квартира;м. Беляево (9 мин пешком);Москва, Профсоюзная улица, 91К4;52.0/34.0/6.0;5/5, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79255178294;Квартира чистая, светлые обои, Вся мебель новая, техника современная. На кухне кухонный н, 2-х камерный холодильник, стир. автомат. В зале шкаф-купе, диван, комод, компьютерный стол. В спальне шкаф, диван. С/у раздельный. Есть балкон, мет. дверь. На длительный срок. Если под снос- новая квартира в этом же р-не тоже будет сдаваться на тех же условиях. Оперативный показ. Рита, 10 фото;Косметический;20,14;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;2.64;;;https://www.cian.ru/rent/flat/169737528
170633338;2, Изолированная;Квартира;м. Царицыно (5 мин на машине);Москва, Касимовская улица, 7к1;45.0/32.0/7.0;2/9, Блочный;;33000.0 руб./ За месяц, Залог - 33000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79645662142, +79687577282;Квартира в хорошем состоянии, рассмотрим порядочных платежеспособных. В шаговой  доступности  станция Бирюлево товарная., 18 фото;Косметический;18-14;;Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;;;Да;https://www.cian.ru/rent/flat/170633338
